<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20170116,133000,166.2300000,166.3700000,165.8000000,165.9200000,709270
20170116,134500,165.9200000,166.1100000,165.6800000,165.9200000,351150
20170116,140000,165.9600000,166.1500000,165.5500000,165.6400000,531640
20170116,141500,165.6400000,166.7300000,165.6400000,166.3100000,1373310
20170116,143000,166.3500000,166.6400000,166.3000000,166.3600000,190620
20170116,151500,166.3100000,166.3800000,166.0000000,166.3600000,420170
20170116,153000,166.3000000,166.5500000,166.0200000,166.4500000,721940
20170116,154500,166.3900000,166.6400000,166.2200000,166.4500000,539560
20170116,160000,166.4500000,166.5000000,166.2900000,166.5000000,2270020
20170116,161500,166.4900000,166.5000000,166.2600000,166.4100000,629860
20170116,163000,166.4200000,166.5000000,166.2300000,166.4100000,1940160
20170116,164500,166.3900000,166.4200000,165.7000000,165.7100000,968140
20170116,170000,165.7200000,165.8800000,165.1000000,165.5700000,1028350
20170116,171500,165.5600000,165.6300000,164.7200000,164.9300000,1145710
20170116,173000,164.9100000,165.0000000,164.6400000,164.8800000,564930
20170116,174500,164.8700000,165.0500000,164.6300000,164.7000000,633500
20170116,180000,164.7000000,165.1500000,164.5000000,165.1100000,1684080
20170116,181500,165.1000000,165.2000000,164.5800000,164.6500000,787220
20170116,183000,164.6900000,164.8900000,164.6400000,164.6900000,680070
20170116,184500,164.6600000,164.6600000,164.6600000,164.6600000,337660
20170117,100000,164.7100000,166.1700000,164.6800000,165.6600000,1491980
20170117,101500,165.7400000,165.9100000,164.6000000,164.9200000,1108120
20170117,103000,164.9600000,164.9600000,163.5500000,163.8000000,3730310
20170117,104500,163.8000000,164.6600000,163.6500000,163.8500000,2165630
20170117,110000,163.8600000,163.9900000,163.3400000,163.4100000,2136510
20170117,111500,163.4000000,164.6900000,163.3500000,164.4600000,2091600
20170117,113000,164.4900000,164.7400000,164.0300000,164.1700000,2582040
20170117,114500,164.1800000,164.4100000,164.0300000,164.2200000,2300800
20170117,120000,164.2200000,164.7400000,164.1700000,164.6500000,762940
20170117,121500,164.6600000,165.1800000,164.5400000,165.0000000,2032880
20170117,123000,165.0000000,165.7500000,165.0000000,165.6000000,2248880
20170117,124500,165.6300000,165.6900000,165.1500000,165.5500000,1178880
20170117,130000,165.5500000,165.8400000,164.7300000,165.1600000,1071470
20170117,131500,165.1100000,165.7900000,164.9600000,165.5700000,860940
20170117,133000,165.5800000,165.6800000,165.3500000,165.4400000,495200
20170117,134500,165.4200000,165.6500000,165.2300000,165.3100000,575020
20170117,140000,165.3600000,165.5800000,165.1500000,165.3900000,554410
20170117,141500,165.3900000,165.6000000,165.1600000,165.3000000,400280
